codigo;nome do produto;sexo;tamanho;cor;imagem;quantidade;valor de custo;perc lucro;valor de venda
986;Pijama regata e calça kirash ;Feminino;3 Anos;;20220528_110001.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recl4aBACuwjBvkEv/fldknrxBWGyUjOsAV/att6xUhKSHm3P5m4f), 20220528_104336.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recl4aBACuwjBvkEv/fldknrxBWGyUjOsAV/attSBthKriEq9Xl6L);2;R$25.80;75%;R$45.90
987;Pijama regata e calça kirash ;Masculino;1 Ano;;20220525_155427.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recIaMS3GLyoDd4No/fldknrxBWGyUjOsAV/attfH8T46swxzwNUN);2;R$25.80;75%;R$45.90
988;Pijama regata e calça kirash ;Masculino;2 Anos;;20220525_160146.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recR9Z1TLq6Pf1tC2/fldknrxBWGyUjOsAV/att8ymdYrYvGquHVI);2;R$25.80;75%;R$45.90
992;Pijama curto regata;Masculino;6 anos;;20220528_123826.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec6ljCxhV5BVgAtU/fldknrxBWGyUjOsAV/attfqUm6lcPoAvU9v);1;R$25.69;92%;R$49.90
994;"Macacão regata kirash";Feminino;P - Bebê;;20220525_095805.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec8hGEs8QiV39gWd/fldknrxBWGyUjOsAV/attAfY2XAQmLzeej8);1;R$19.49;82%;R$35.90
995;"Macacão regata kirash";Feminino;G - Bebê;;20220525_112442.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recc2nXqop0z6IpAF/fldknrxBWGyUjOsAV/attFiqqI34Oq0OQF9);1;R$19.49;82%;R$35.90
996;"Macacão regata kirash";Feminino;G - Bebê;;20220525_104546.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recvreJrJextUY1mj/fldknrxBWGyUjOsAV/attrUA431liM2ENVr);1;R$19.49;82%;R$35.90
997;"Macacão regata kirash";Masculino;P - Bebê;;20220525_095805.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recb8vMDT8e4FGFRL/fldknrxBWGyUjOsAV/attgb60iHWzB8wylX);1;R$19.49;82%;R$35.90
998;"Macacão regata kirash";Masculino;M - Bebê;;20220525_112442.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recAg7swCj4Yc9gfU/fldknrxBWGyUjOsAV/attYRQMbykhmlolKw);1;R$19.49;82%;R$35.90
1000;Pijama regata e calça kirash ;Feminino;4 anos;;20220528_110512.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recpNpTEb3k7vbRuj/fldknrxBWGyUjOsAV/att8UehVPgRxfvXv7);1;R$32.21;70%;R$55.90
1001;Pijama regata e calça kirash ;Feminino;6 anos;;20220528_105404.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recexJG3SsiZotiEl/fldknrxBWGyUjOsAV/attHfvpkNKiLBhoJK);1;R$32.21;70%;R$55.90
961;Bermuda legging ciclista;Feminino;23 a 27;Rosa;20220523_182436.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec5mDCo6x49CYrrf/fldknrxBWGyUjOsAV/attbMDmg9atuBMS14), 20220523_182420.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec5mDCo6x49CYrrf/fldknrxBWGyUjOsAV/attbJUP1PqupaUEV7);1;R$15.51;75%;R$27.90
1002;Pijama regata e calça kirash ;Feminino;8 anos;;20220528_105659.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/reczy8eLGwxnWEFqY/fldknrxBWGyUjOsAV/attCefVlEmxiAsPEh);1;R$32.21;70%;R$55.90
1004;Pijama regata e calça kirash ;Masculino;6 anos;;20220528_104704(0).jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recAm6w5JuH84ndn4/fldknrxBWGyUjOsAV/attFU3iNUyp8OOJvT);1;R$32.21;70%;R$55.90
1005;Pijama regata e calça kirash ;Masculino;8 anos;;20220528_111308.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recj7VXUkmlT6yyi6/fldknrxBWGyUjOsAV/att9rQCNxtOmJKkua);1;R$32.21;70%;R$55.90
1006;Pijama curto regata;Feminino;4 anos;;20220528_122014.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec9sWz0RIfv0BSqc/fldknrxBWGyUjOsAV/attoVfl9ZJTUcIAfa);1;R$29.02;70%;R$49.90
1009;Vestido São João Polly Xita;Feminino;P - Bebê;;;1;R$54.80;80%;R$99.90
1010;Vestido São João Polly Xita;Feminino;1 Ano;;;1;R$54.80;80%;R$99.90
1014;Vestido São João Polly LOL;Feminino;6 anos;;;1;R$54.80;80%;R$99.90
1016;Vestido São João Polly LOL;Feminino;10 anos;;;1;R$54.80;80%;R$99.90
1017;Camisa Xadrez São João;Masculino;G - Bebê;;;1;R$16.31;75%;R$29.90
1018;Camisa Xadrez São João;Masculino;1 Ano;;;2;R$16.30;75%;R$29.90
1019;Camisa Xadrez São João;Masculino;3 Anos;;;1;R$16.31;75%;R$29.90
1021;Bermuda com Suspensório ;Masculino;2 Anos;Azul Marinho;;1;R$21.74;78%;R$39.90
1023;Camisa Lisa Botões Branco com Gravata;Masculino;G - Bebê;Branco;;1;R$16.30;75%;R$29.90
1024;Camisa Lisa Botões Branco com Gravata;Masculino;1 Ano;Branco;;1;R$16.30;75%;R$29.90
1025;Conjunto Circo ;Masculino;1 Ano;VERMELHO;;1;R$39.13;70%;R$67.90
1027;Conjunto Mauricinho Dino;Masculino;1 Ano;;20221204_165302.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec9g08MsQBRpcGsl/fldknrxBWGyUjOsAV/attqpqKZjbj3vnUNg);1;R$23.91;75%;R$42.90
1028;Bermuda com Suspensório ;Masculino;2 Anos;VERMELHO;;1;R$21.74;78%;R$39.90
1030;Conjunto Mauricinho Astronauta;Masculino;1 Ano;;20221204_164521.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recZgg5aYwnCi57Uh/fldknrxBWGyUjOsAV/attAE66Y05R6ummTt);1;R$23.91;75%;R$42.90
1031;Conjunto Mauricinho Astronauta;Masculino;3 Anos;;20221204_164521.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/reccbTSormRcjvCAW/fldknrxBWGyUjOsAV/attPYqOyK5zhy5d42);1;R$23.91;75%;R$42.90
1032;Vestido Batinha Dino Manga Curta;Feminino;2 Anos;Estampado;WhatsApp Image 2022-09-27 at 20.13.44 (3).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rechSUkHGCqmK8LDM/fldknrxBWGyUjOsAV/attpAOdnu9UqWQLw6), WhatsApp Image 2022-09-27 at 20.13.44 (4).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rechSUkHGCqmK8LDM/fldknrxBWGyUjOsAV/attBhaLRhuU1LXDOx), WhatsApp Image 2022-09-27 at 20.13.44 (5).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rechSUkHGCqmK8LDM/fldknrxBWGyUjOsAV/attzSYSNiw16MYSS6), WhatsApp Image 2022-09-27 at 20.13.45.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rechSUkHGCqmK8LDM/fldknrxBWGyUjOsAV/attIAgIAXWdTDn5iD);1;R$32.17;75%;R$56.90
1034;Vestido Batinha Leão Manga Curta;Feminino;4 anos;Estampado;WhatsApp Image 2022-09-27 at 20.13.44 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recYVgjXo0D2QuH0v/fldknrxBWGyUjOsAV/attl34U1yEdqrdgSy), WhatsApp Image 2022-09-27 at 20.13.44 (2).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recYVgjXo0D2QuH0v/fldknrxBWGyUjOsAV/attNiVfGl0AEaBU8v), WhatsApp Image 2022-09-27 at 20.13.44.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recYVgjXo0D2QuH0v/fldknrxBWGyUjOsAV/attqbPiXxX6gkqqQQ);1;R$32.17;75%;R$56.90
1038;Conjunto Short e Blusa Bufante Rosê;Feminino;4 anos;Rosa;WhatsApp Image 2022-09-27 at 20.13.43 (2).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recewrTQtGYei99TV/fldknrxBWGyUjOsAV/attkO9W75avYxvxyU), WhatsApp Image 2022-09-27 at 20.13.43 (3).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recewrTQtGYei99TV/fldknrxBWGyUjOsAV/attp3Z6r9rsmMOy6p), WhatsApp Image 2022-09-27 at 20.13.43 (4).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recewrTQtGYei99TV/fldknrxBWGyUjOsAV/att8QeyWeidTl9V4w), WhatsApp Image 2022-09-27 at 20.13.43 (5).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recewrTQtGYei99TV/fldknrxBWGyUjOsAV/attnhw4TYtHWosqZ2);1;R$32.17;75%;R$56.90
1039;Conjunto Short e Blusa Bufante Rosê;Feminino;8 anos;Rosa;WhatsApp Image 2022-09-27 at 20.13.43 (2).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recXVyiNXa5Qodq0g/fldknrxBWGyUjOsAV/attkO9W75avYxvxyU), WhatsApp Image 2022-09-27 at 20.13.43 (3).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recXVyiNXa5Qodq0g/fldknrxBWGyUjOsAV/attp3Z6r9rsmMOy6p), WhatsApp Image 2022-09-27 at 20.13.43 (4).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recXVyiNXa5Qodq0g/fldknrxBWGyUjOsAV/att8QeyWeidTl9V4w), WhatsApp Image 2022-09-27 at 20.13.43 (5).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recXVyiNXa5Qodq0g/fldknrxBWGyUjOsAV/attnhw4TYtHWosqZ2);1;R$32.17;75%;R$56.90
1040;Conjunto Short e Blusa Bufante Rosê;Feminino;10 anos;Rosa;WhatsApp Image 2022-09-27 at 20.13.43 (2).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recgfkI9HuqBh72n7/fldknrxBWGyUjOsAV/attkO9W75avYxvxyU), WhatsApp Image 2022-09-27 at 20.13.43 (3).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recgfkI9HuqBh72n7/fldknrxBWGyUjOsAV/attp3Z6r9rsmMOy6p), WhatsApp Image 2022-09-27 at 20.13.43 (4).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recgfkI9HuqBh72n7/fldknrxBWGyUjOsAV/att8QeyWeidTl9V4w), WhatsApp Image 2022-09-27 at 20.13.43 (5).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recgfkI9HuqBh72n7/fldknrxBWGyUjOsAV/attnhw4TYtHWosqZ2);1;R$32.17;75%;R$56.90
1044;Macacão Pantacourt Alça Amarração ;Feminino;6 anos;Azul;WhatsApp Image 2022-09-27 at 20.13.41.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recWoYy6zIjnsvJES/fldknrxBWGyUjOsAV/attp7iKTDDFwnophu), WhatsApp Image 2022-09-27 at 20.13.42 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recWoYy6zIjnsvJES/fldknrxBWGyUjOsAV/att6oCYqh7xvN6wGs), WhatsApp Image 2022-09-27 at 20.13.42 (2).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recWoYy6zIjnsvJES/fldknrxBWGyUjOsAV/attkUkv1kqgwczugh), WhatsApp Image 2022-09-27 at 20.13.42.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recWoYy6zIjnsvJES/fldknrxBWGyUjOsAV/attcjl8AZDR0ADLeM), WhatsApp Image 2022-09-27 at 20.13.43 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recWoYy6zIjnsvJES/fldknrxBWGyUjOsAV/att9ssrwIHseWFcTA), WhatsApp Image 2022-09-27 at 20.13.43.jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recWoYy6zIjnsvJES/fldknrxBWGyUjOsAV/att5zvDuSyswdYLDm);1;R$32.17;75%;R$56.90
