Código;Descrição;Unidade;NCM;Origem;Preço;Valor IPI fixo;Observações;Situação;Estoque;Preço de custo;Cód no fornecedor;Fornecedor;Localização;Estoque maximo;Estoque minimo;Peso líquido (Kg);Peso bruto (Kg);GTIN/EAN;GTIN/EAN da embalagem;Largura do Produto;Altura do Produto;Profundidade do produto;Data Validade;Descrição do Produto no Fornecedor;Descrição Complementar;Unidade por Caixa;Produto Variação;Tipo Produção;Classe de enquadramento do IPI;Código da lista de serviços;Tipo do item;Grupo de Tags/Tags;Tributos;Código Pai;Código Integração;Grupo de produtos;Marca;CEST;Volumes;Descrição Curta;Cross-Docking;URL Imagens Externas;Link Externo;Meses Garantia no Fornecedor;Clonar dados do pai;Condição do produto;Frete Grátis;Número FCI;Vídeo;Departamento;Unidade de medida;Preço de compra;Valor base ICMS ST para retenção;Valor ICMS ST para retenção;Valor ICMS próprio do substituto;Categoria do produto;Informações Adicionais
PAI13;Meia You Baby;UN;62092000;0;R$3.01;;;Ativo;5;R$3.01;;;;;;;;;;;;;;Meia You Baby;Meia You Baby;1;;;;;produto;;;;;;;28.059.00;1;Meia You Baby;;Image 20 setembro 2020 10:12 AM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec3MxPVb16lECziI/fldknrxBWGyUjOsAV/atty0WiFn9ywyntIy);;;false;Novo;Não;;;;centímetro;;;;;;
13;"Tamanho: 5 a 24 Meses;Sexo: Feminino";UN;62092000;0;R$3.01;;;Ativo;5;R$3.01;;;;;;;;;;;;;;"Tamanho: 5 a 24 Meses;Sexo: Feminino";"Tamanho: 5 a 24 Meses;Sexo: Feminino";1;;;;;produto;;;13;;;;28.059.00;1;"Tamanho: 5 a 24 Meses;Sexo: Feminino";;Image 20 setembro 2020 10:12 AM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec3MxPVb16lECziI/fldknrxBWGyUjOsAV/atty0WiFn9ywyntIy);;;SIM;Novo;Não;;;;centímetro;;;;;;
35;"Tamanho: RN - Recém Nascido;Sexo: Feminino";UN;62092000;0;R$3.01;;;Ativo;5;R$3.01;;;;;;;;;;;;;;"Tamanho: RN - Recém Nascido;Sexo: Feminino";"Tamanho: RN - Recém Nascido;Sexo: Feminino";1;;;;;produto;;;13;;;;28.059.00;1;"Tamanho: RN - Recém Nascido;Sexo: Feminino";;Image 20 setembro 2020 11:04 AM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/receC0bSBtE02oCOr/fldknrxBWGyUjOsAV/attoOrEOSDj0Emoto);;;SIM;Novo;Não;;;;centímetro;;;;;;
PAI18;Joelheira Selene;UN;62092000;0;R$7.54;;;Ativo;2;R$7.54;;;;;;;;;;;;;;Joelheira Selene;Joelheira Selene;1;;;;;produto;;;;;;;28.059.00;1;Joelheira Selene;;Image 20 setembro 2020 10:33 AM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recMaYfkvzAvKMEBU/fldknrxBWGyUjOsAV/att2mTyNZ0i8jpHYY);;;false;Novo;Não;;;;centímetro;;;;;;
18;"Tamanho: Unico;Sexo: Feminino";UN;62092000;0;R$7.54;;;Ativo;2;R$7.54;;;;;;;;;;;;;;"Tamanho: Unico;Sexo: Feminino";"Tamanho: Unico;Sexo: Feminino";1;;;;;produto;;;18;;;;28.059.00;1;"Tamanho: Unico;Sexo: Feminino";;Image 20 setembro 2020 10:33 AM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recMaYfkvzAvKMEBU/fldknrxBWGyUjOsAV/att2mTyNZ0i8jpHYY);;;SIM;Novo;Não;;;;centímetro;;;;;;
19;"Tamanho: Unico;Sexo: Masculino";UN;62092000;0;R$7.54;;;Ativo;1;R$7.54;;;;;;;;;;;;;;"Tamanho: Unico;Sexo: Masculino";"Tamanho: Unico;Sexo: Masculino";1;;;;;produto;;;18;;;;28.059.00;1;"Tamanho: Unico;Sexo: Masculino";;Image 20 setembro 2020 10:32 AM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recI2USDich16znIg/fldknrxBWGyUjOsAV/attdVxYho5cmYtlU1);;;SIM;Novo;Não;;;;centímetro;;;;;;
21;"Mijão B. Molhado Bordado";UN;62092000;0;R$8.52;;;Ativo;2;R$8.52;;;;;;;;;;;;;;"Mijão B. Molhado Bordado";"Mijão B. Molhado Bordado";1;;;;;produto;;;;;;;28.059.00;1;"Mijão B. Molhado Bordado";;Image 20 setembro 2020 10:35 AM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recsz7EkKOV2QuB6J/fldknrxBWGyUjOsAV/atthi0yX4LFP7mqv8);;;false;Novo;Não;;;;centímetro;;;;;;
22;"Mijão Liso Flaphy";UN;62092000;0;R$3.76;;;Ativo;1;R$3.76;;;;;;;;;;;;;;"Mijão Liso Flaphy";"Mijão Liso Flaphy";1;;;;;produto;;;;;;;28.059.00;1;"Mijão Liso Flaphy";;Image 20 setembro 2020 01:11 PM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recjMQ0bouiwKdEaz/fldknrxBWGyUjOsAV/atthJ0M1ZOhRfjK0m), Image 20 setembro 2020 01:12 PM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recjMQ0bouiwKdEaz/fldknrxBWGyUjOsAV/attKTlTIrkqByJOpk);;;false;Novo;Não;;;;centímetro;;;;;;
PAI24;"Mijão Estampado Flaphy";UN;62092000;0;R$7.01;;;Ativo;3;R$7.01;;;;;;;;;;;;;;"Mijão Estampado Flaphy";"Mijão Estampado Flaphy";1;;;;;produto;;;;;;;28.059.00;1;"Mijão Estampado Flaphy";;Image 20 setembro 2020 01:15 PM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recSefVlrQQLox4rF/fldknrxBWGyUjOsAV/attoG9z9wTQfqj6qg);;;false;Novo;Não;;;;centímetro;;;;;;
24;"Tamanho: P - Bebê;Sexo: Unisex";UN;62092000;0;R$7.01;;;Ativo;3;R$7.01;;;;;;;;;;;;;;"Tamanho: P - Bebê;Sexo: Unisex";"Tamanho: P - Bebê;Sexo: Unisex";1;;;;;produto;;;24;;;;28.059.00;1;"Tamanho: P - Bebê;Sexo: Unisex";;Image 20 setembro 2020 01:15 PM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recSefVlrQQLox4rF/fldknrxBWGyUjOsAV/attoG9z9wTQfqj6qg);;;SIM;Novo;Não;;;;centímetro;;;;;;
25;"Tamanho: M - Bebê;Sexo: Unisex";UN;62092000;0;R$7.01;;;Ativo;2;R$7.01;;;;;;;;;;;;;;"Tamanho: M - Bebê;Sexo: Unisex";"Tamanho: M - Bebê;Sexo: Unisex";1;;;;;produto;;;24;;;;28.059.00;1;"Tamanho: M - Bebê;Sexo: Unisex";;Image 20 setembro 2020 01:16 PM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recWJjgW9G54cYTLp/fldknrxBWGyUjOsAV/attXZHm5HR3HhoRIX), Image 20 setembro 2020 01:16 PM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recWJjgW9G54cYTLp/fldknrxBWGyUjOsAV/attmOW2aIZnxVW6l1);;;SIM;Novo;Não;;;;centímetro;;;;;;
26;"Tamanho: G - Bebê;Sexo: Unisex";UN;62092000;0;R$7.01;;;Ativo;2;R$7.01;;;;;;;;;;;;;;"Tamanho: G - Bebê;Sexo: Unisex";"Tamanho: G - Bebê;Sexo: Unisex";1;;;;;produto;;;24;;;;28.059.00;1;"Tamanho: G - Bebê;Sexo: Unisex";;Image 20 setembro 2020 01:18 PM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recTRSmh75hjbmBuC/fldknrxBWGyUjOsAV/attsns9RPFTp6wYMG), Image 20 setembro 2020 01:18 PM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recTRSmh75hjbmBuC/fldknrxBWGyUjOsAV/attBeB85DEyYOxo51);;;SIM;Novo;Não;;;;centímetro;;;;;;
37;Meia Sapatilha You Baby ;UN;62092000;0;R$4.85;;;Ativo;2;R$4.85;;;;;;;;;;;;;;Meia Sapatilha You Baby ;Meia Sapatilha You Baby ;1;;;;;produto;;;;;;;28.059.00;1;Meia Sapatilha You Baby ;;Image 20 setembro 2020 11:05 AM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recvWC0ZZ3hJNzhiX/fldknrxBWGyUjOsAV/attZqY5c9ebJzUvoH);;;false;Novo;Não;;;;centímetro;;;;;;
38;Vestido Abrange Corações;UN;62092000;0;R$14.33;;;Ativo;1;R$14.33;;;;;;;;;;;;;;Vestido Abrange Corações;Vestido Abrange Corações;1;;;;;produto;;;;;;;28.059.00;1;Vestido Abrange Corações;;Image 20 setembro 2020 11:06 AM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recgjX6L9YLYf6u2K/fldknrxBWGyUjOsAV/attmpv4NPfonVZDYp);;;false;Novo;Não;;;;centímetro;;;;;;
43;Sunga Boxer Akamai;UN;62092000;0;R$19.40;;;Ativo;1;R$19.40;;;;;;;;;;;;;;Sunga Boxer Akamai;Sunga Boxer Akamai;1;;;;;produto;;;;;;;28.059.00;1;Sunga Boxer Akamai;;Image 20 setembro 2020 01:20 PM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recSCMg0A1eivUUkb/fldknrxBWGyUjOsAV/attQW9eTIVfOzHWFA);;;false;Novo;Não;;;;centímetro;;;;;;
45;"Regata Carros Animais Alenice";UN;62092000;0;R$9.17;;;Ativo;2;R$9.17;;;;;;;;;;;;;;"Regata Carros Animais Alenice";"Regata Carros Animais Alenice";1;;;;;produto;;;;;;;28.059.00;1;"Regata Carros Animais Alenice";;Image 20 setembro 2020 11:09 AM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recWN78pb4gEqtyo8/fldknrxBWGyUjOsAV/attslr9UfhzlcR4sE);;;false;Novo;Não;;;;centímetro;;;;;;
PAI49;"Bermuda Tactel Marlan ";UN;62092000;0;R$14.00;;;Ativo;1;R$14.00;;;;;;;;;;;;;;"Bermuda Tactel Marlan ";"Bermuda Tactel Marlan ";1;;;;;produto;;;;;;;28.059.00;1;"Bermuda Tactel Marlan ";;Image 20 setembro 2020 11:16 AM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recVPrbfShrQLKMOW/fldknrxBWGyUjOsAV/att4wsUUo7rTO8EQZ);;;false;Novo;Não;;;;centímetro;;;;;;
49;"Tamanho: 1 Ano;Sexo: Masculino";UN;62092000;0;R$14.00;;;Ativo;1;R$14.00;;;;;;;;;;;;;;"Tamanho: 1 Ano;Sexo: Masculino";"Tamanho: 1 Ano;Sexo: Masculino";1;;;;;produto;;;49;;;;28.059.00;1;"Tamanho: 1 Ano;Sexo: Masculino";;Image 20 setembro 2020 11:16 AM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recVPrbfShrQLKMOW/fldknrxBWGyUjOsAV/att4wsUUo7rTO8EQZ);;;SIM;Novo;Não;;;;centímetro;;;;;;
50;"Tamanho: 2 Anos;Sexo: Masculino";UN;62092000;0;R$14.01;;;Ativo;2;R$14.01;;;;;;;;;;;;;;"Tamanho: 2 Anos;Sexo: Masculino";"Tamanho: 2 Anos;Sexo: Masculino";1;;;;;produto;;;49;;;;28.059.00;1;"Tamanho: 2 Anos;Sexo: Masculino";;Image 20 setembro 2020 11:17 AM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec98dKpTLPlTz0DD/fldknrxBWGyUjOsAV/attwD7eqL0DplOvko), bermuda-bebe-masculino-pb-a-003-1_5320.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec98dKpTLPlTz0DD/fldknrxBWGyUjOsAV/attKvK93KYsqHh07D);;;SIM;Novo;Não;;;;centímetro;;;;;;
66;Bermuda Moletinho Dinossauros B. Bagunça;UN;62092000;0;R$14.65;;;Ativo;1;R$14.65;;;;;;;;;;;;;;Bermuda Moletinho Dinossauros B. Bagunça;Bermuda Moletinho Dinossauros B. Bagunça;1;;;;;produto;;;;;;;28.059.00;1;Bermuda Moletinho Dinossauros B. Bagunça;;Image 20 setembro 2020 10:51 AM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recNXXy71e1h76zZ2/fldknrxBWGyUjOsAV/attjVP78SBpVsPxOu), Image 20 setembro 2020 10:51 AM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recNXXy71e1h76zZ2/fldknrxBWGyUjOsAV/attE1IKeoNft5jSOi);;;false;Novo;Não;;;;centímetro;;;;;;
210;Conjunto Masculino Regata Estampada Dia de Pescaria e Bermuda Tactel 34302 - Brandili;UN;62092000;0;R$24.61;;;Ativo;1;R$24.61;;;;;;;;;;;;;;Conjunto Masculino Regata Estampada Dia de Pescaria e Bermuda Tactel 34302 - Brandili;Conjunto Masculino Regata Estampada Dia de Pescaria e Bermuda Tactel 34302 - Brandili;1;;;;;produto;;;;;;;28.059.00;1;Conjunto Masculino Regata Estampada Dia de Pescaria e Bermuda Tactel 34302 - Brandili;;brandili_34302_1_.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recwWhDF5xTMs1vw4/fldknrxBWGyUjOsAV/attdpA302RnwFsEJa);;;false;Novo;Não;;;;centímetro;;;;;;
68;Conjunto Surf Alenice;UN;62092000;0;R$20.03;;;Ativo;1;R$20.03;;;;;;;;;;;;;;Conjunto Surf Alenice;Conjunto Surf Alenice;1;;;;;produto;;;;;;;28.059.00;1;Conjunto Surf Alenice;;Image 23 setembro 2020 08:20 AM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec5k1S3jfM4mH821/fldknrxBWGyUjOsAV/attNJaMEy0xlu3eoG), Image 23 setembro 2020 08:21 AM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec5k1S3jfM4mH821/fldknrxBWGyUjOsAV/att2jCBL1sYf3LzBP), conjunto-bebe-masculino-surfando-mescla-alenice-40988-2.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec5k1S3jfM4mH821/fldknrxBWGyUjOsAV/atttlJdXKWHkQmt2R);;;false;Novo;Não;;;;centímetro;;;;;;
73;Conjunto Picolé Alenice;UN;62092000;0;R$20.02;;;Ativo;1;R$20.02;;;;;;;;;;;;;;Conjunto Picolé Alenice;Conjunto Picolé Alenice;1;;;;;produto;;;;;;;28.059.00;1;Conjunto Picolé Alenice;;conjunto-bebe-feminino-picole-azul-alenice-41025-2.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recnjf7VX3NhA3dBH/fldknrxBWGyUjOsAV/att0hHjyd8ooQLvJv);;;false;Novo;Não;;;;centímetro;;;;;;
PAI81;Body Doces Alenice;UN;62092000;0;R$13.93;;;Ativo;1;R$13.93;;;;;;;;;;;;;;Body Doces Alenice;Body Doces Alenice;1;;;;;produto;;;;;;;28.059.00;1;Body Doces Alenice;;body-bebe-feminino-doces-vermelho-alenice-41017.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recPBYD9a93okXdDJ/fldknrxBWGyUjOsAV/att2e3NXt7Vm3jOQ6);;;false;Novo;Não;;;;centímetro;;;;;;
81;"Tamanho: P - Bebê;Sexo: Feminino";UN;62092000;0;R$13.93;;;Ativo;1;R$13.93;;;;;;;;;;;;;;"Tamanho: P - Bebê;Sexo: Feminino";"Tamanho: P - Bebê;Sexo: Feminino";1;;;;;produto;;;81;;;;28.059.00;1;"Tamanho: P - Bebê;Sexo: Feminino";;body-bebe-feminino-doces-vermelho-alenice-41017.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recPBYD9a93okXdDJ/fldknrxBWGyUjOsAV/att2e3NXt7Vm3jOQ6);;;SIM;Novo;Não;;;;centímetro;;;;;;
82;"Tamanho: M - Bebê;Sexo: Feminino";UN;62092000;0;R$13.93;;;Ativo;2;R$13.93;;;;;;;;;;;;;;"Tamanho: M - Bebê;Sexo: Feminino";"Tamanho: M - Bebê;Sexo: Feminino";1;;;;;produto;;;81;;;;28.059.00;1;"Tamanho: M - Bebê;Sexo: Feminino";;body-bebe-feminino-doces-vermelho-alenice-41017.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recuYYSr8lTgSdLoM/fldknrxBWGyUjOsAV/att2e3NXt7Vm3jOQ6), body-bebe-feminino-doces-verde-alenice-41017.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recuYYSr8lTgSdLoM/fldknrxBWGyUjOsAV/attt9dwS1SJQqQaog);;;SIM;Novo;Não;;;;centímetro;;;;;;
83;"Tamanho: G - Bebê;Sexo: Feminino";UN;62092000;0;R$13.93;;;Ativo;2;R$13.93;;;;;;;;;;;;;;"Tamanho: G - Bebê;Sexo: Feminino";"Tamanho: G - Bebê;Sexo: Feminino";1;;;;;produto;;;81;;;;28.059.00;1;"Tamanho: G - Bebê;Sexo: Feminino";;body-bebe-feminino-doces-vermelho-alenice-41017.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recrhhZryzhATnSZM/fldknrxBWGyUjOsAV/att2e3NXt7Vm3jOQ6), body-bebe-feminino-doces-verde-alenice-41017.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recrhhZryzhATnSZM/fldknrxBWGyUjOsAV/attt9dwS1SJQqQaog);;;SIM;Novo;Não;;;;centímetro;;;;;;
84;Macaquinho Infantil Elian;UN;62092000;0;R$19.01;;;Ativo;1;R$19.01;;;;;;;;;;;;;;Macaquinho Infantil Elian;Macaquinho Infantil Elian;1;;;;;produto;;;;;;;28.059.00;1;Macaquinho Infantil Elian;;231287-vermelho.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recMfQzk0wAUq3fNQ/fldknrxBWGyUjOsAV/attKk6kYUOFEqnowI);;;false;Novo;Não;;;;centímetro;;;;;;
PAI86;Calça Lisa Suedine Marlan;UN;62092000;0;R$12.48;;;Ativo;1;R$12.48;;;;;;;;;;;;;;Calça Lisa Suedine Marlan;Calça Lisa Suedine Marlan;1;;;;;produto;;;;;;;28.059.00;1;Calça Lisa Suedine Marlan;;calca-suedine-bebe-unissex-mescla-marlan-54136.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recUN4ppfD2KXyoS7/fldknrxBWGyUjOsAV/attFOI0W1E0xPkjzQ);;;false;Novo;Não;;;;centímetro;;;;;;
86;"Tamanho: M - Bebê;Sexo: Unisex";UN;62092000;0;R$12.48;;;Ativo;1;R$12.48;;;;;;;;;;;;;;"Tamanho: M - Bebê;Sexo: Unisex";"Tamanho: M - Bebê;Sexo: Unisex";1;;;;;produto;;;86;;;;28.059.00;1;"Tamanho: M - Bebê;Sexo: Unisex";;calca-suedine-bebe-unissex-mescla-marlan-54136.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recUN4ppfD2KXyoS7/fldknrxBWGyUjOsAV/attFOI0W1E0xPkjzQ);;;SIM;Novo;Não;;;;centímetro;;;;;;
87;"Tamanho: P - Bebê;Sexo: Unisex";UN;62092000;0;R$12.48;;;Ativo;1;R$12.48;;;;;;;;;;;;;;"Tamanho: P - Bebê;Sexo: Unisex";"Tamanho: P - Bebê;Sexo: Unisex";1;;;;;produto;;;86;;;;28.059.00;1;"Tamanho: P - Bebê;Sexo: Unisex";;calca-suedine-bebe-unissex-mescla-marlan-54136.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/reciEvz9ea1s6LeJ2/fldknrxBWGyUjOsAV/attFOI0W1E0xPkjzQ);;;SIM;Novo;Não;;;;centímetro;;;;;;
88;"Tamanho: G - Bebê;Sexo: Feminino";UN;62092000;0;R$12.48;;;Ativo;1;R$12.48;;;;;;;;;;;;;;"Tamanho: G - Bebê;Sexo: Feminino";"Tamanho: G - Bebê;Sexo: Feminino";1;;;;;produto;;;86;;;;28.059.00;1;"Tamanho: G - Bebê;Sexo: Feminino";;calca-suedine-bebe-unissex-pink-marlan-54136.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recPamdIrtoL1Vpy4/fldknrxBWGyUjOsAV/att5o0uOUcdaTWp3V);;;SIM;Novo;Não;;;;centímetro;;;;;;
89;"Tamanho: M - Bebê;Sexo: Feminino";UN;62092000;0;R$12.48;;;Ativo;1;R$12.48;;;;;;;;;;;;;;"Tamanho: M - Bebê;Sexo: Feminino";"Tamanho: M - Bebê;Sexo: Feminino";1;;;;;produto;;;86;;;;28.059.00;1;"Tamanho: M - Bebê;Sexo: Feminino";;calca-suedine-bebe-unissex-pink-marlan-54136.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/rec8I2iUyVliKmYHG/fldknrxBWGyUjOsAV/att5o0uOUcdaTWp3V);;;SIM;Novo;Não;;;;centímetro;;;;;;
90;"Tamanho: P - Bebê;Sexo: Feminino";UN;62092000;0;R$12.48;;;Ativo;1;R$12.48;;;;;;;;;;;;;;"Tamanho: P - Bebê;Sexo: Feminino";"Tamanho: P - Bebê;Sexo: Feminino";1;;;;;produto;;;86;;;;28.059.00;1;"Tamanho: P - Bebê;Sexo: Feminino";;calca-suedine-bebe-unissex-pink-marlan-54136.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recJQRNAPZUoYQ4aj/fldknrxBWGyUjOsAV/att5o0uOUcdaTWp3V);;;SIM;Novo;Não;;;;centímetro;;;;;;
708;Conjunto Body e Short Curto Onça;UN;62092000;0;R$19.70;;;Ativo;1;R$19.70;;;;;;;;;;;;;;Conjunto Body e Short Curto Onça;Conjunto Body e Short Curto Onça;1;;;;;produto;;;;;;;28.059.00;1;Conjunto Body e Short Curto Onça;;;;;false;Novo;Não;;;;centímetro;;;;;;
PAI91;Body Mulher-Maravilha Marlan;UN;62092000;0;R$19.72;;;Ativo;1;R$19.72;;;;;;;;;;;;;;Body Mulher-Maravilha Marlan;Body Mulher-Maravilha Marlan;1;;;;;produto;;;;;;;28.059.00;1;Body Mulher-Maravilha Marlan;;body-bebe-feminino-mulher-maravilha-marinho-marlan-m4063.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recbFhrV6MBCm78q9/fldknrxBWGyUjOsAV/att4K0midgNgaJP02);;;false;Novo;Não;;;;centímetro;;;;;;
91;"Tamanho: P - Bebê;Sexo: Feminino";UN;62092000;0;R$19.72;;;Ativo;1;R$19.72;;;;;;;;;;;;;;"Tamanho: P - Bebê;Sexo: Feminino";"Tamanho: P - Bebê;Sexo: Feminino";1;;;;;produto;;;91;;;;28.059.00;1;"Tamanho: P - Bebê;Sexo: Feminino";;body-bebe-feminino-mulher-maravilha-marinho-marlan-m4063.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recbFhrV6MBCm78q9/fldknrxBWGyUjOsAV/att4K0midgNgaJP02);;;SIM;Novo;Não;;;;centímetro;;;;;;
92;"Tamanho: G - Bebê;Sexo: Feminino";UN;62092000;0;R$19.72;;;Ativo;1;R$19.72;;;;;;;;;;;;;;"Tamanho: G - Bebê;Sexo: Feminino";"Tamanho: G - Bebê;Sexo: Feminino";1;;;;;produto;;;91;;;;28.059.00;1;"Tamanho: G - Bebê;Sexo: Feminino";;body-bebe-feminino-mulher-maravilha-marinho-marlan-m4063.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recQUY5w0AOOw3fnU/fldknrxBWGyUjOsAV/att4K0midgNgaJP02);;;SIM;Novo;Não;;;;centímetro;;;;;;
PAI93;Calça Tricô Remyro;UN;62092000;0;R$19.01;;;Ativo;2;R$19.01;;;;;;;;;;;;;;Calça Tricô Remyro;Calça Tricô Remyro;1;;;;;produto;;;;;;;28.059.00;1;Calça Tricô Remyro;;Image 23 setembro 2020 08:34 AM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recQ9DOfYTIRBljbP/fldknrxBWGyUjOsAV/att9T9GBXVz14terz), calca-trico-bebe-feminina-listrada-pink-remyro-0123-2.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recQ9DOfYTIRBljbP/fldknrxBWGyUjOsAV/attkrqcjHwawMuWhV), calca-trico-bebe-feminina-listrada-pink-remyro-0123-1.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recQ9DOfYTIRBljbP/fldknrxBWGyUjOsAV/attNcrNlsdKAnTU8J);;;false;Novo;Não;;;;centímetro;;;;;;
93;"Tamanho: P - Bebê;Sexo: Feminino";UN;62092000;0;R$19.01;;;Ativo;2;R$19.01;;;;;;;;;;;;;;"Tamanho: P - Bebê;Sexo: Feminino";"Tamanho: P - Bebê;Sexo: Feminino";1;;;;;produto;;;93;;;;28.059.00;1;"Tamanho: P - Bebê;Sexo: Feminino";;Image 23 setembro 2020 08:34 AM.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recQ9DOfYTIRBljbP/fldknrxBWGyUjOsAV/att9T9GBXVz14terz), calca-trico-bebe-feminina-listrada-pink-remyro-0123-2.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recQ9DOfYTIRBljbP/fldknrxBWGyUjOsAV/attkrqcjHwawMuWhV), calca-trico-bebe-feminina-listrada-pink-remyro-0123-1.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recQ9DOfYTIRBljbP/fldknrxBWGyUjOsAV/attNcrNlsdKAnTU8J);;;SIM;Novo;Não;;;;centímetro;;;;;;
94;"Tamanho: G - Bebê;Sexo: Feminino";UN;62092000;0;R$19.01;;;Ativo;1;R$19.01;;;;;;;;;;;;;;"Tamanho: G - Bebê;Sexo: Feminino";"Tamanho: G - Bebê;Sexo: Feminino";1;;;;;produto;;;93;;;;28.059.00;1;"Tamanho: G - Bebê;Sexo: Feminino";;calca-trico-bebe-feminina-listrada-pink-remyro-0123-2.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recyEg6g74chXFmQ9/fldknrxBWGyUjOsAV/attkrqcjHwawMuWhV), calca-trico-bebe-feminina-listrada-pink-remyro-0123-1.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recyEg6g74chXFmQ9/fldknrxBWGyUjOsAV/attNcrNlsdKAnTU8J);;;SIM;Novo;Não;;;;centímetro;;;;;;
PAI98;Vestido Floresta Alenice;UN;62092000;0;R$13.93;;;Ativo;1;R$13.93;;;;;;;;;;;;;;Vestido Floresta Alenice;Vestido Floresta Alenice;1;;;;;produto;;;;;;;28.059.00;1;Vestido Floresta Alenice;;vestido-bebe-feminino-floresta-rosa-alenice-41022-2.jpg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recEIDUyjUTTziLxh/fldknrxBWGyUjOsAV/att6wZEh6y5PsVEbM);;;false;Novo;Não;;;;centímetro;;;;;;
