Código;Descrição;Unidade;NCM;Origem;Preço;Valor IPI fixo;Observações;Situação;Estoque;Preço de custo;Cód no fornecedor;Fornecedor;Localização;Estoque maximo;Estoque minimo;Peso líquido (Kg);Peso bruto (Kg);GTIN/EAN;GTIN/EAN da embalagem;Largura do Produto;Altura do Produto;Profundidade do produto;Data Validade;Descrição do Produto no Fornecedor;Descrição Complementar;Unidade por Caixa;Produto Variação;Tipo Produção;Classe de enquadramento do IPI;Código da lista de serviços;Tipo do item;Grupo de Tags/Tags;Tributos;Código Pai;Código Integração;Grupo de produtos;Marca;CEST;Volumes;Descrição Curta;Cross-Docking;URL Imagens Externas;Link Externo;Meses Garantia no Fornecedor;Clonar dados do pai;Condição do produto;Frete Grátis;Número FCI;Vídeo;Departamento;Unidade de medida;Preço de compra;Valor base ICMS ST para retenção;Valor ICMS ST para retenção;Valor ICMS próprio do substituto;Categoria do produto;Informações Adicionais
PAI374;"Conjunto Camisa + Bermuda Jeans TrickNick";UN;62092000;0;R$42.45;;;Ativo;1;R$42.45;;;;;;;;;;;;;;"Conjunto Camisa + Bermuda Jeans TrickNick";"Conjunto Camisa + Bermuda Jeans TrickNick";1;;;;;produto;;;;;;;28.059.00;1;"Conjunto Camisa + Bermuda Jeans TrickNick";;WhatsApp Image 2021-05-22 at 12.51.06 (2).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recl7IJ9MFbDS4V4E/fldknrxBWGyUjOsAV/atta71xnq8D4VU0QL);;;false;Novo;Não;;;;centímetro;;;;;;
374;"Tamanho: 1 Ano;Sexo: Masculino";UN;62092000;0;R$42.45;;;Ativo;1;R$42.45;;;;;;;;;;;;;;"Tamanho: 1 Ano;Sexo: Masculino";"Tamanho: 1 Ano;Sexo: Masculino";1;;;;;produto;;;374;;;;28.059.00;1;"Tamanho: 1 Ano;Sexo: Masculino";;WhatsApp Image 2021-05-22 at 12.51.06 (2).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recl7IJ9MFbDS4V4E/fldknrxBWGyUjOsAV/atta71xnq8D4VU0QL);;;SIM;Novo;Não;;;;centímetro;;;;;;
376;"Tamanho: 3 Anos;Sexo: Masculino";UN;62092000;0;R$42.45;;;Ativo;1;R$42.45;;;;;;;;;;;;;;"Tamanho: 3 Anos;Sexo: Masculino";"Tamanho: 3 Anos;Sexo: Masculino";1;;;;;produto;;;374;;;;28.059.00;1;"Tamanho: 3 Anos;Sexo: Masculino";;WhatsApp Image 2021-05-22 at 12.51.06 (2).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recaAFbftttBw8U5t/fldknrxBWGyUjOsAV/atta71xnq8D4VU0QL);;;SIM;Novo;Não;;;;centímetro;;;;;;
PAI377;Regata Alça Lisa Básica Rovitex;UN;62092000;0;R$10.53;;;Ativo;2;R$10.53;;;;;;;;;;;;;;Regata Alça Lisa Básica Rovitex;Regata Alça Lisa Básica Rovitex;1;;;;;produto;;;;;;;28.059.00;1;Regata Alça Lisa Básica Rovitex;;WhatsApp Image 2021-05-22 at 12.51.07 (3).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recYFR7ud9or7Jt31/fldknrxBWGyUjOsAV/att43ffw4njQiwMKA);;;false;Novo;Não;;;;centímetro;;;;;;
377;"Tamanho: 1 Ano;Sexo: Feminino";UN;62092000;0;R$10.53;;;Ativo;2;R$10.53;;;;;;;;;;;;;;"Tamanho: 1 Ano;Sexo: Feminino";"Tamanho: 1 Ano;Sexo: Feminino";1;;;;;produto;;;377;;;;28.059.00;1;"Tamanho: 1 Ano;Sexo: Feminino";;WhatsApp Image 2021-05-22 at 12.51.07 (3).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recYFR7ud9or7Jt31/fldknrxBWGyUjOsAV/att43ffw4njQiwMKA);;;SIM;Novo;Não;;;;centímetro;;;;;;
378;"Tamanho: 2 Anos;Sexo: Feminino";UN;62092000;0;R$10.54;;;Ativo;1;R$10.54;;;;;;;;;;;;;;"Tamanho: 2 Anos;Sexo: Feminino";"Tamanho: 2 Anos;Sexo: Feminino";1;;;;;produto;;;377;;;;28.059.00;1;"Tamanho: 2 Anos;Sexo: Feminino";;WhatsApp Image 2021-05-22 at 12.51.07 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recvAw8nhqZn6d5a0/fldknrxBWGyUjOsAV/atthsTflSPbo6NKKX);;;SIM;Novo;Não;;;;centímetro;;;;;;
PAI380;Macacão Longo em Suedine;UN;62092000;0;R$21.34;;;Ativo;5;R$21.34;;;;;;;;;;;;;;Macacão Longo em Suedine;Macacão Longo em Suedine;1;;;;;produto;;;;;;;28.059.00;1;Macacão Longo em Suedine;;WhatsApp Image 2021-05-26 at 21_14_56 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recLbM1nlorobGU6Y/fldknrxBWGyUjOsAV/attPGTYG3d0a4JxKC);;;false;Novo;Não;;;;centímetro;;;;;;
380;"Tamanho: Prematuro;Sexo: Unisex";UN;62092000;0;R$21.34;;;Ativo;5;R$21.34;;;;;;;;;;;;;;"Tamanho: Prematuro;Sexo: Unisex";"Tamanho: Prematuro;Sexo: Unisex";1;;;;;produto;;;380;;;;28.059.00;1;"Tamanho: Prematuro;Sexo: Unisex";;WhatsApp Image 2021-05-26 at 21_14_56 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recLbM1nlorobGU6Y/fldknrxBWGyUjOsAV/attPGTYG3d0a4JxKC);;;SIM;Novo;Não;;;;centímetro;;;;;;
381;"Tamanho: P - Bebê;Sexo: Unisex";UN;62092000;0;R$21.34;;;Ativo;2;R$21.34;;;;;;;;;;;;;;"Tamanho: P - Bebê;Sexo: Unisex";"Tamanho: P - Bebê;Sexo: Unisex";1;;;;;produto;;;380;;;;28.059.00;1;"Tamanho: P - Bebê;Sexo: Unisex";;WhatsApp Image 2021-05-26 at 21_14_56 (1).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/recBoF5nSbRecneOo/fldknrxBWGyUjOsAV/attPGTYG3d0a4JxKC);;;SIM;Novo;Não;;;;centímetro;;;;;;
PAI382;Conjunto Body + Calça Canelado;UN;62092000;0;R$25.30;;;Ativo;6;R$25.30;;;;;;;;;;;;;;Conjunto Body + Calça Canelado;Conjunto Body + Calça Canelado;1;;;;;produto;;;;;;;28.059.00;1;Conjunto Body + Calça Canelado;;WhatsApp Image 2021-05-26 at 21_14_55 (3).jpeg (https://airtable.com/appSNyLz7926ZjOoy/tblZ3LajayOokAYnN/reciMBeWd6oCyVIgp/fldknrxBWGyUjOsAV/attmWQIoT8WPLGCE1);;;false;Novo;Não;;;;centímetro;;;;;;
